!!USGS Station ID 03609750: Tennessee River at Highway 60 near Paducah, KY
197310										
YYYYMM  Flow_cms  Sed_ton  TP_ton   TN_ton  NO2+3_ton NO3_ton  Sed_sd  TP_sd   TN_sd   NO2+3_sd   NO3_sd 
199307       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199308       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199309       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199310       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199311       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199312       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199401       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199402       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199403       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199404       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199405       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199406       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199407       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199408       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199409       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199410       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199411       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199412       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199501       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199502       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199503       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199504       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199505       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199506       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199507       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199508       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199509       -9999    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199510        1360    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199511        2220    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199512        1390    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199601        3530    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199602        3550    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199603        3210    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199604        1650    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199605        1300    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199606        1280    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199607         902    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199608        1070    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199609        1030    -9999   -9999   -9999      -9999   -9999   -9999   -9999   -9999      -9999   -9999
199610         923    14900    92.6     954        371   -9999    1850      15      69         47   -9999
199611        1700    31300     222    2257       1290   -9999    3675      32     192        175   -9999
199612        3940    82300     827    7080       4890   -9999    9975     123     749        725   -9999
199701        3390    55300     625    7620       5700   -9999    5825      78     714        700   -9999
199702        2980    35700     459    6350       4760   -9999    3750      57     577        565   -9999
199703        5680    66100    1240   12310       8780   -9999    7150     197    1508       1485   -9999
199704         934     6310    82.9    1429        789   -9999     708      11     110         98   -9999
199705        1420    10200     152    2015        955   -9999    1025      17     133        113   -9999
